title,date,run_time,genre,rating,introduction,director,stars,num_votes
Cooper2723: The Movie,2023-06-12,88,Comedy,,"Cooper2723 is watching a poorly made movie, someone named sdfsdf nukes the world to kill Cooper2723 because of him being rude to everyone, but Cooper2723 escapes, Cooper2723 quits watching the movie thinking it sucks, and plays his Wii.",,,
Remembering His Touch,2023-06-12,66,Drama,,"Discover 5 stories that question the fate of lost love and the longing for answers. When you fight to hold on to the past, is it ever truly worth it?","Mario Galarreta, Chia Meng Koo, Courtney Powell, Marco Sandeman, Gabriel Shanks","Chee Pin Chia, Nathaniel P. Claridad, Peder Holm Johansen, Jeremy Kahn",
Inga skuggor kvar,2023-06-12,76,Drama,,"Anton, a maladjusted and yearning man is trying to find love, comfort and a new family to requite his feelings. This is a journey through the early days of autumn that ends up being a ...",Richard Thornéus,"Charlie Gustafsson, Julia Sporre, Happy Jankell, Steve Kratz",
Ikigai - Life is a Beautiful Ride,2023-06-12,,"Action, Crime, Drama",,,Roland Sanchez,"Giovanni Baldisseri, Gigi Hernandez, Arrian Labios, James Lomahan",
Gone with the Boat,2023-06-12,99,Drama,,"Jin, an aged mom living alone in a village, has been diagnosed with a brain tumor. After knowing this bad news, her daughter Jenny, who runs an English training center in Shanghai, ...",Xiaoyu Chen,"Zhaomei Ge, Dan Liu, Zhoukai Wu",
A Hidden History,2023-06-12,,History,,"Journalist Tony Connelly travels Ireland following the astonishing story of his grandfather Michael Connelly, who served in the controversial Royal Irish Constabulary during the Irish War of Independence.",,"Cécile Chemin, Tim Connelly, Tony Connelly, Niamh Gallagher",
Mei de bai tian he hei ye,2023-06-12,,Drama,,,Dong Luo,"Yumei Chen, Shouyun Liu, Yanfu Liu, Xiuzhen Zhang",
Heavies tendres,2023-06-12,80,Animation,,,"Joan Tomas Monfort, Carlos Pérez-Reche",,
Putus Asa,2023-06-12,10,Drama,,"This film tells the story of the life of a young man who has a desire to change and at one point when he experiences a setback in himself, he becomes desperate.",Abraham Abdiel Arya Putra Yudianto,Abraham Abdiel Arya Putra Yudianto,
La Grote Sacree,2023-06-12,100,Animation,,"In the heart of the equatorial forest in Africa, a king is poisoned by one of his subjects. On the orders of the oldest of the notables, an old seer is called for rescue. He suggests to two...",Cyrille Masso,"Andre' Bang, Diallo Diallo, Gérard Essomba",
Latinoamericaos,2023-06-12,,Comedy,,,Esteban Martin,"El Pio R.D., Carlos Sanchez",
Tyler Rake: Nhiệm Vụ Giải Cứu 2,2023-06-13,122,"Action, Thriller",7.1,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.",Sam Hargrave,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani",99436
Fear the Invisible Man,2023-06-13,100,Thriller,3.7,"A young British widow shelters an old medical school colleague, a man who has somehow turned himself invisible. As his isolation grows and his sanity frays, he schemes to create a reign of ...",Paul Dudbridge,"Mhairi Calvey, David Hayman, Mark Arnold, Grahame Fox",326
The Hopewell Haunting,2023-06-13,83,"Horror, Thriller",5,"An elderly, jaded preacher struggles to regain control of his life after a terrifying experience with the unknown.",Dane Sears,"Ted Ferguson, Timothy Morton, Audra Todd, Rich Williams",36
Ozi: Voice of the Forest,2023-06-13,,Animation,,"This is the story of Ozi, an orphan orangutan, who uses her influencer skills to save her forest and home from deforestation.",Tim Harper,"Marissa Anita, Kemah Bob, Urzila Carlson, Dean-Charles Chapman",
